OrderID,SupplierID,OrderDate,ProcurementManager,Department,Status,Priority
500087,1009,2024-05-26,Jordan Lee,Finance,Open,Standard
500088,1013,2024-04-06,Morgan Patel,Finance,Closed,Standard
500089,1023,2024-06-14,Morgan Patel,Facilities,In Transit,Standard
500090,1014,2024-12-13,Jordan Lee,IT,Open,Standard
500091,1024,2024-04-04,Taylor Smith,IT,Closed,Standard
500092,1015,2025-07-21,Morgan Patel,Operations,In Transit,Standard
500093,1011,2025-01-28,Casey Brown,IT,In Transit,Standard
500094,1003,2025-06-08,Alex Chen,Operations,Closed,Standard
500095,1009,2024-03-27,Taylor Smith,Finance,Closed,Rush
500096,1025,2024-10-03,Jordan Lee,IT,Open,Rush
500097,1005,2025-02-19,Casey Brown,Retail,In Transit,Standard
500098,1023,2025-05-21,Taylor Smith,IT,Closed,Standard
500099,1023,2024-02-28,Jordan Lee,Operations,Open,Standard
500100,1001,2024-10-02,Alex Chen,Operations,Open,Standard
500101,1008,2025-09-14,Alex Chen,Operations,Open,Rush
500102,1001,2025-04-09,Taylor Smith,Facilities,In Transit,Standard
500103,1020,2024-10-01,Jordan Lee,Retail,Closed,Rush
500104,1008,2025-12-27,Alex Chen,IT,Closed,Rush
500105,1006,2024-02-21,Jordan Lee,IT,Open,Standard
500106,1025,2025-06-27,Jordan Lee,Facilities,Open,Standard
500107,1022,2025-05-27,Jordan Lee,IT,Open,Standard
500108,1009,2024-01-19,Alex Chen,Operations,Closed,Standard
500109,1018,2025-06-01,Jordan Lee,Facilities,In Transit,Standard
500110,1015,2024-09-08,Alex Chen,Facilities,In Transit,Standard
500111,1016,2025-11-03,Casey Brown,Retail,Open,Standard
500112,1023,2024-11-11,Jordan Lee,IT,Closed,Standard
500113,1023,2024-07-22,Jordan Lee,IT,Open,Standard
500114,1005,2024-02-25,Alex Chen,IT,Closed,Standard
500115,1006,2025-03-17,Alex Chen,Facilities,Closed,Rush
500116,1022,2025-06-02,Taylor Smith,Finance,In Transit,Standard
500117,1010,2025-12-10,Alex Chen,Finance,Open,Standard
500118,1009,2024-06-10,Morgan Patel,IT,Closed,Standard
500119,1011,2025-01-07,Casey Brown,Finance,Open,Standard
500120,1010,2024-02-05,Jordan Lee,Finance,Open,Standard
500121,1011,2024-01-02,Morgan Patel,Facilities,Closed,Standard
500122,1017,2024-10-12,Jordan Lee,Retail,Closed,Standard
500123,1003,2024-01-06,Taylor Smith,Finance,Closed,Standard
500124,1019,2025-02-13,Alex Chen,Operations,Open,Standard
500125,1010,2024-11-02,Jordan Lee,Retail,Closed,Standard
500126,1025,2025-06-25,Jordan Lee,Retail,In Transit,Standard
500127,1025,2025-02-02,Taylor Smith,Facilities,In Transit,Standard
500128,1010,2024-06-02,Casey Brown,Finance,In Transit,Standard
500129,1023,2024-02-14,Casey Brown,Facilities,In Transit,Standard
500130,1017,2025-12-18,Jordan Lee,Retail,In Transit,Standard
500131,1001,2025-08-05,Casey Brown,Finance,In Transit,Standard
500132,1001,2024-03-28,Alex Chen,IT,Closed,Standard
500133,1013,2024-04-17,Morgan Patel,Operations,In Transit,Standard
500134,1001,2025-10-04,Casey Brown,Finance,In Transit,Standard
500135,1009,2025-05-16,Alex Chen,Operations,Open,Standard
500136,1018,2025-05-30,Alex Chen,Retail,In Transit,Standard
500137,1024,2024-03-08,Morgan Patel,Operations,Open,Standard
500138,1008,2024-09-28,Jordan Lee,Facilities,Closed,Rush
500139,1013,2025-05-20,Alex Chen,IT,Open,Standard
500140,1020,2024-02-17,Jordan Lee,Retail,Closed,Standard
500141,1011,2024-05-30,Taylor Smith,IT,In Transit,Standard
500142,1019,2025-09-28,Jordan Lee,Facilities,Closed,Standard
500143,1016,2024-03-03,Taylor Smith,Operations,In Transit,Standard
500144,1007,2025-12-09,Morgan Patel,Retail,Open,Standard
500145,1015,2024-10-19,Morgan Patel,Operations,Open,Standard
500146,1007,2025-07-16,Taylor Smith,Facilities,Closed,Standard
500147,1010,2024-01-18,Morgan Patel,Retail,Closed,Standard
500148,1009,2025-04-05,Morgan Patel,Finance,Closed,Rush
500149,1019,2024-03-17,Alex Chen,Retail,Closed,Standard
500150,1012,2024-09-25,Jordan Lee,Retail,In Transit,Standard
500151,1004,2024-10-13,Taylor Smith,Facilities,Closed,Standard
500152,1013,2025-05-12,Alex Chen,Operations,Closed,Standard
500153,1022,2025-05-18,Morgan Patel,IT,Open,Standard
500154,1014,2024-05-24,Taylor Smith,IT,Open,Standard
500155,1011,2024-05-03,Alex Chen,IT,Open,Standard
500156,1004,2025-02-11,Jordan Lee,Operations,In Transit,Rush
500157,1009,2024-10-23,Taylor Smith,Facilities,Closed,Standard
500158,1019,2025-02-03,Alex Chen,Facilities,Open,Standard
500159,1002,2024-10-08,Taylor Smith,Operations,Closed,Standard
500160,1010,2025-11-08,Jordan Lee,IT,Closed,Standard
500161,1017,2025-03-22,Taylor Smith,IT,Closed,Standard
500162,1001,2025-03-14,Morgan Patel,Retail,In Transit,Standard
500163,1024,2024-07-27,Alex Chen,Facilities,Closed,Standard
500164,1020,2025-04-06,Jordan Lee,IT,In Transit,Standard
500165,1002,2025-05-12,Casey Brown,Finance,Closed,Standard
500166,1014,2025-04-28,Taylor Smith,IT,Open,Standard
500167,1024,2024-09-18,Taylor Smith,Finance,Open,Standard
500168,1016,2024-11-04,Casey Brown,Facilities,In Transit,Standard
500169,1006,2024-05-02,Jordan Lee,Finance,Closed,Standard
500170,1016,2025-05-27,Casey Brown,Facilities,Closed,Rush
500171,1025,2024-12-06,Morgan Patel,Finance,Open,Standard
500172,1007,2025-07-14,Jordan Lee,Finance,Closed,Standard
500173,1018,2024-12-16,Alex Chen,Finance,Open,Standard
500174,1009,2025-01-12,Casey Brown,Operations,Closed,Standard
500175,1013,2025-02-26,Morgan Patel,Retail,In Transit,Standard
500176,1013,2024-08-03,Taylor Smith,Operations,Open,Standard
500177,1009,2025-05-25,Casey Brown,Finance,Open,Standard
500178,1017,2025-12-04,Casey Brown,Finance,In Transit,Standard
500179,1009,2024-04-04,Jordan Lee,Facilities,Open,Standard
500180,1015,2025-10-23,Morgan Patel,Operations,Open,Standard
500181,1002,2024-05-10,Morgan Patel,Facilities,In Transit,Standard
500182,1016,2025-08-24,Alex Chen,Facilities,Closed,Standard
500183,1015,2025-06-24,Morgan Patel,Operations,Closed,Rush
500184,1005,2024-08-17,Jordan Lee,Operations,In Transit,Standard
500185,1021,2025-12-18,Morgan Patel,Retail,Closed,Standard
500186,1001,2024-02-10,Jordan Lee,Retail,Closed,Standard
500187,1021,2024-02-08,Taylor Smith,IT,Closed,Rush
500188,1021,2025-06-24,Morgan Patel,Operations,In Transit,Rush
500189,1003,2024-04-11,Taylor Smith,Retail,In Transit,Standard
500190,1013,2024-07-15,Taylor Smith,Retail,Closed,Rush
500191,1001,2024-01-02,Casey Brown,Facilities,Open,Standard
500192,1011,2024-10-12,Jordan Lee,Retail,Open,Standard
500193,1018,2024-08-28,Jordan Lee,Facilities,Closed,Standard
500194,1021,2025-12-22,Taylor Smith,Operations,Closed,Standard
500195,1016,2024-07-17,Morgan Patel,IT,Closed,Standard
500196,1022,2024-08-21,Morgan Patel,Finance,Open,Rush
500197,1002,2025-05-19,Taylor Smith,Facilities,In Transit,Standard
500198,1022,2025-01-06,Morgan Patel,Operations,Closed,Standard
500199,1024,2024-10-26,Casey Brown,Finance,Closed,Rush
500200,1007,2025-05-22,Taylor Smith,Finance,Closed,Rush
500201,1008,2025-04-21,Taylor Smith,Operations,Open,Standard
500202,1016,2025-09-30,Casey Brown,Finance,Closed,Standard
500203,1014,2025-05-11,Alex Chen,Finance,In Transit,Standard
500204,1002,2025-02-06,Jordan Lee,Retail,Closed,Standard
500205,1014,2024-05-25,Alex Chen,Operations,In Transit,Rush
500206,1013,2024-07-07,Morgan Patel,IT,In Transit,Rush
500207,1003,2024-04-25,Jordan Lee,Finance,Open,Standard
500208,1021,2024-07-08,Casey Brown,Facilities,In Transit,Rush
500209,1010,2024-02-02,Morgan Patel,IT,Open,Standard
500210,1006,2025-03-29,Alex Chen,Operations,Closed,Standard
500211,1003,2024-10-13,Taylor Smith,Operations,Open,Standard
500212,1025,2025-07-28,Jordan Lee,IT,Open,Standard
500213,1014,2024-11-12,Alex Chen,Facilities,Closed,Standard
500214,1012,2024-07-19,Casey Brown,Finance,Open,Rush
500215,1012,2024-11-27,Morgan Patel,Facilities,Closed,Standard
500216,1021,2024-09-10,Morgan Patel,Facilities,Closed,Rush
500217,1015,2024-02-05,Alex Chen,IT,Closed,Standard
500218,1024,2024-07-18,Alex Chen,IT,In Transit,Standard
500219,1009,2025-01-06,Taylor Smith,Operations,In Transit,Rush
500220,1024,2024-09-25,Taylor Smith,IT,Open,Standard
500221,1024,2024-01-04,Casey Brown,Operations,In Transit,Standard
500222,1008,2024-01-25,Alex Chen,Facilities,Open,Standard
500223,1009,2025-01-30,Morgan Patel,Finance,Open,Rush
500224,1006,2025-05-23,Alex Chen,IT,In Transit,Standard
500225,1025,2025-12-09,Jordan Lee,Finance,In Transit,Standard
500226,1011,2024-12-01,Morgan Patel,Retail,Open,Standard
500227,1017,2024-03-21,Jordan Lee,Finance,Open,Standard
500228,1014,2024-09-10,Alex Chen,Operations,In Transit,Standard
500229,1018,2025-05-08,Casey Brown,Finance,Open,Standard
500230,1004,2025-03-12,Alex Chen,Retail,Open,Standard
500231,1007,2024-03-27,Alex Chen,Facilities,Open,Standard
500232,1015,2025-12-27,Jordan Lee,Finance,Closed,Standard
500233,1015,2025-03-02,Casey Brown,Finance,In Transit,Standard
500234,1025,2025-07-05,Alex Chen,IT,Open,Standard
500235,1019,2024-10-13,Taylor Smith,IT,Open,Standard
500236,1007,2024-09-23,Morgan Patel,Finance,Closed,Standard
500237,1008,2024-09-08,Jordan Lee,Retail,Open,Standard
500238,1011,2024-07-11,Alex Chen,IT,Open,Standard
500239,1017,2024-09-08,Casey Brown,Operations,Closed,Standard
500240,1015,2025-10-31,Alex Chen,Operations,Closed,Standard
500241,1008,2025-05-01,Morgan Patel,Operations,Open,Rush
500242,1008,2024-10-27,Alex Chen,Finance,Closed,Standard
500243,1019,2025-09-06,Jordan Lee,IT,Closed,Standard
500244,1006,2025-06-08,Morgan Patel,IT,In Transit,Standard
500245,1001,2025-11-11,Alex Chen,Retail,In Transit,Standard
500246,1020,2025-12-27,Taylor Smith,Operations,Closed,Standard
500247,1011,2025-01-12,Jordan Lee,Finance,Closed,Standard
500248,1002,2024-09-18,Casey Brown,Finance,In Transit,Standard
500249,1011,2024-01-12,Morgan Patel,IT,In Transit,Standard
500250,1020,2024-07-08,Taylor Smith,Finance,Closed,Standard
500251,1016,2024-02-02,Casey Brown,Operations,Open,Standard
500252,1004,2025-02-21,Morgan Patel,Retail,In Transit,Standard
500253,1021,2024-06-07,Casey Brown,Finance,Closed,Standard
500254,1023,2025-02-11,Taylor Smith,IT,Open,Rush
500255,1010,2025-11-14,Morgan Patel,IT,Closed,Standard
500256,1012,2025-08-03,Morgan Patel,Operations,Open,Rush
500257,1021,2025-01-07,Jordan Lee,Facilities,Open,Rush
500258,1001,2024-07-27,Morgan Patel,Facilities,Closed,Standard
500259,1003,2024-04-26,Morgan Patel,IT,In Transit,Standard
500260,1025,2025-04-16,Jordan Lee,Operations,Closed,Rush
500261,1018,2024-02-22,Jordan Lee,Facilities,In Transit,Standard
500262,1019,2024-04-01,Casey Brown,Retail,Open,Standard
500263,1005,2024-06-24,Taylor Smith,Finance,Open,Standard
500264,1006,2025-06-17,Alex Chen,Facilities,Closed,Standard
500265,1025,2025-05-17,Jordan Lee,Finance,Open,Rush
500266,1016,2024-02-14,Taylor Smith,Retail,Closed,Standard
500267,1013,2025-10-13,Alex Chen,Retail,In Transit,Standard
500268,1006,2025-12-05,Jordan Lee,Facilities,In Transit,Standard
500269,1007,2025-09-21,Morgan Patel,Retail,Closed,Standard
500270,1002,2024-08-11,Morgan Patel,Finance,In Transit,Standard
500271,1012,2025-01-27,Alex Chen,Finance,Closed,Rush
500272,1002,2024-07-16,Casey Brown,Operations,In Transit,Standard
500273,1011,2025-11-14,Alex Chen,Retail,Open,Standard
500274,1018,2025-04-11,Taylor Smith,Facilities,In Transit,Standard
500275,1019,2024-11-11,Jordan Lee,Facilities,Open,Rush
500276,1012,2025-11-05,Morgan Patel,Facilities,In Transit,Standard
500277,1001,2024-07-02,Alex Chen,Facilities,In Transit,Rush
500278,1008,2025-04-21,Morgan Patel,Facilities,In Transit,Standard
500279,1016,2024-07-02,Morgan Patel,Operations,Closed,Rush
500280,1012,2024-05-11,Morgan Patel,Operations,Open,Standard
500281,1017,2025-03-28,Casey Brown,Operations,In Transit,Standard
500282,1021,2024-02-11,Jordan Lee,IT,Closed,Standard
500283,1003,2025-06-07,Alex Chen,Facilities,In Transit,Standard
500284,1005,2025-10-30,Alex Chen,Retail,Closed,Rush
500285,1004,2025-12-10,Jordan Lee,Facilities,Closed,Standard
500286,1006,2024-10-21,Jordan Lee,IT,Closed,Standard
500287,1025,2025-09-17,Taylor Smith,IT,Closed,Standard
500288,1009,2025-09-20,Morgan Patel,IT,Closed,Standard
500289,1016,2025-05-29,Jordan Lee,IT,In Transit,Standard
500290,1017,2025-09-22,Jordan Lee,IT,Open,Rush
500291,1007,2024-02-07,Jordan Lee,Finance,Open,Standard
500292,1009,2025-10-13,Taylor Smith,Finance,Open,Standard
500293,1004,2024-09-27,Casey Brown,IT,Closed,Rush
500294,1018,2025-04-08,Casey Brown,Operations,In Transit,Rush
500295,1018,2024-09-15,Morgan Patel,IT,In Transit,Standard
500296,1013,2024-09-28,Taylor Smith,Finance,In Transit,Rush
500297,1011,2025-01-03,Alex Chen,Finance,Open,Rush
500298,1020,2024-06-29,Alex Chen,Retail,Open,Standard
500299,1010,2024-09-16,Casey Brown,IT,In Transit,Standard
500300,1024,2024-01-02,Alex Chen,Finance,Closed,Standard
500301,1020,2024-10-24,Morgan Patel,Retail,Open,Standard
500302,1002,2025-01-07,Jordan Lee,Finance,Open,Standard
500303,1021,2025-09-19,Alex Chen,Operations,Closed,Standard
500304,1019,2024-01-03,Taylor Smith,Operations,Open,Standard
500305,1012,2025-06-19,Casey Brown,Facilities,Closed,Standard
500306,1010,2025-08-20,Casey Brown,Finance,Closed,Standard
500307,1020,2025-01-10,Morgan Patel,Finance,Closed,Standard
500308,1008,2024-01-15,Jordan Lee,Operations,Open,Standard
500309,1021,2024-03-06,Jordan Lee,IT,In Transit,Standard
500310,1009,2025-02-15,Alex Chen,Retail,Closed,Standard
500311,1020,2024-12-24,Casey Brown,Retail,Open,Rush
500312,1024,2025-06-14,Morgan Patel,Finance,Closed,Standard
500313,1002,2024-01-01,Alex Chen,Operations,In Transit,Standard
500314,1006,2025-02-19,Jordan Lee,Operations,Closed,Standard
500315,1001,2024-04-17,Casey Brown,Finance,In Transit,Standard
500316,1014,2024-05-25,Jordan Lee,Retail,In Transit,Standard
500317,1017,2025-10-20,Morgan Patel,Finance,In Transit,Standard
500318,1010,2025-06-04,Alex Chen,Operations,Open,Standard
500319,1023,2025-05-04,Casey Brown,Facilities,Closed,Rush
500320,1024,2025-03-23,Morgan Patel,Facilities,Closed,Standard
500321,1008,2024-06-28,Alex Chen,Finance,Open,Rush
500322,1002,2025-10-21,Alex Chen,IT,Open,Standard
500323,1002,2025-12-29,Taylor Smith,Retail,In Transit,Standard
500324,1014,2025-11-26,Casey Brown,IT,Open,Rush
500325,1007,2025-10-19,Alex Chen,Operations,In Transit,Rush
500326,1009,2024-06-22,Jordan Lee,Finance,In Transit,Rush
500327,1024,2024-06-12,Taylor Smith,Facilities,Closed,Standard
500328,1020,2024-12-02,Jordan Lee,Retail,Open,Standard
500329,1016,2025-04-25,Casey Brown,Operations,In Transit,Standard
500330,1014,2024-01-28,Jordan Lee,IT,In Transit,Rush
500331,1013,2024-08-05,Casey Brown,Operations,In Transit,Rush
500332,1006,2025-08-01,Jordan Lee,Operations,Closed,Rush
500333,1004,2024-04-24,Casey Brown,IT,Closed,Standard
500334,1023,2024-05-25,Alex Chen,Operations,Closed,Standard
500335,1023,2024-05-21,Alex Chen,Operations,In Transit,Standard
500336,1003,2024-02-17,Casey Brown,Finance,Open,Standard
500337,1022,2025-06-30,Alex Chen,Facilities,In Transit,Rush
500338,1008,2024-04-19,Jordan Lee,Operations,Closed,Standard
500339,1002,2024-02-04,Alex Chen,IT,In Transit,Standard
500340,1004,2025-05-03,Jordan Lee,Finance,Closed,Standard
500341,1011,2024-10-28,Taylor Smith,IT,Open,Standard
500342,1012,2024-01-22,Taylor Smith,Operations,Open,Standard
500343,1011,2025-01-11,Casey Brown,Facilities,In Transit,Standard
500344,1020,2024-10-21,Alex Chen,Operations,Open,Standard
500345,1017,2025-03-22,Alex Chen,Facilities,Open,Standard
500346,1002,2025-12-22,Casey Brown,Finance,In Transit,Standard
500347,1019,2024-04-03,Taylor Smith,Facilities,Closed,Standard
500348,1017,2024-01-02,Jordan Lee,Operations,Open,Rush
500349,1012,2024-01-05,Morgan Patel,Facilities,Closed,Standard
500350,1006,2025-12-12,Morgan Patel,IT,In Transit,Standard
500351,1009,2025-06-11,Casey Brown,IT,Closed,Standard
500352,1023,2024-08-07,Jordan Lee,Finance,Open,Standard
500353,1021,2024-04-22,Alex Chen,Retail,Open,Standard
500354,1021,2024-04-17,Taylor Smith,Operations,Open,Standard
500355,1013,2025-02-14,Alex Chen,Operations,Open,Standard
500356,1007,2025-01-15,Taylor Smith,Facilities,Open,Rush
500357,1017,2025-07-12,Jordan Lee,Finance,Open,Standard
500358,1005,2025-04-16,Casey Brown,Retail,In Transit,Standard
500359,1002,2025-10-23,Taylor Smith,IT,In Transit,Rush
500360,1005,2025-06-18,Morgan Patel,Retail,In Transit,Standard
500361,1006,2024-11-27,Morgan Patel,IT,Open,Rush
500362,1008,2025-08-16,Jordan Lee,Facilities,Open,Standard
500363,1023,2025-10-20,Jordan Lee,Finance,In Transit,Rush
500364,1010,2024-09-30,Casey Brown,Finance,Closed,Standard
500365,1024,2024-09-10,Taylor Smith,Retail,In Transit,Standard
500366,1006,2024-12-22,Jordan Lee,Finance,Open,Rush
500367,1024,2024-09-21,Alex Chen,Operations,Closed,Standard
500368,1013,2024-07-19,Jordan Lee,IT,Closed,Standard
500369,1014,2024-10-31,Taylor Smith,Operations,Closed,Standard
500370,1004,2025-10-15,Taylor Smith,Facilities,Closed,Rush
500371,1002,2025-04-20,Alex Chen,Facilities,Open,Rush
500372,1008,2025-12-11,Casey Brown,IT,In Transit,Standard
500373,1001,2025-04-19,Jordan Lee,Retail,Open,Standard
500374,1001,2025-02-18,Jordan Lee,Retail,Open,Standard
500375,1024,2025-08-24,Morgan Patel,Retail,Closed,Standard
500376,1022,2024-08-22,Jordan Lee,Operations,In Transit,Standard
500377,1014,2025-04-09,Taylor Smith,Operations,Open,Standard
500378,1008,2025-03-05,Morgan Patel,Finance,In Transit,Standard
500379,1014,2024-09-13,Morgan Patel,Operations,Open,Standard
500380,1014,2025-09-28,Casey Brown,Finance,In Transit,Standard
500381,1011,2025-11-01,Alex Chen,Facilities,Open,Standard
500382,1002,2024-04-18,Taylor Smith,Finance,In Transit,Standard
500383,1023,2024-06-13,Jordan Lee,IT,In Transit,Standard
500384,1019,2024-04-13,Morgan Patel,Finance,In Transit,Rush
500385,1017,2025-05-02,Alex Chen,IT,In Transit,Standard
500386,1011,2025-06-18,Morgan Patel,Facilities,In Transit,Standard
500387,1022,2024-08-03,Jordan Lee,Retail,Open,Standard
500388,1024,2024-05-05,Casey Brown,Operations,Open,Standard
500389,1009,2024-09-15,Morgan Patel,Operations,Open,Standard
500390,1003,2024-01-14,Morgan Patel,IT,Open,Standard
500391,1009,2025-08-17,Alex Chen,IT,Closed,Rush
500392,1017,2025-02-14,Jordan Lee,Facilities,Open,Standard
500393,1006,2024-08-05,Jordan Lee,Finance,Closed,Standard
500394,1021,2025-04-25,Casey Brown,Finance,In Transit,Standard
500395,1012,2024-05-29,Morgan Patel,IT,Open,Standard
500396,1021,2025-07-15,Jordan Lee,IT,Open,Standard
500397,1009,2024-08-23,Morgan Patel,IT,In Transit,Rush
500398,1022,2025-03-12,Jordan Lee,Operations,Open,Standard
500399,1012,2024-10-14,Jordan Lee,IT,In Transit,Standard
500400,1016,2024-11-24,Morgan Patel,Retail,Open,Standard
500401,1003,2025-10-14,Taylor Smith,IT,Closed,Rush
500402,1002,2025-01-29,Alex Chen,IT,In Transit,Standard
500403,1017,2024-05-23,Taylor Smith,Retail,In Transit,Standard
500404,1022,2024-01-16,Alex Chen,Operations,Closed,Rush
500405,1010,2025-11-02,Taylor Smith,Operations,In Transit,Standard
500406,1005,2025-08-15,Jordan Lee,Facilities,Closed,Standard
500407,1005,2024-12-20,Jordan Lee,Retail,Open,Standard
500408,1020,2024-06-20,Casey Brown,Retail,Closed,Rush
500409,1010,2025-10-13,Jordan Lee,Finance,Open,Rush
500410,1003,2025-06-27,Morgan Patel,Operations,In Transit,Standard
500411,1004,2025-07-22,Taylor Smith,Finance,Open,Standard
500412,1016,2024-05-22,Morgan Patel,Operations,In Transit,Standard
500413,1015,2025-05-10,Jordan Lee,Facilities,In Transit,Standard
500414,1016,2024-09-09,Jordan Lee,Retail,In Transit,Rush
500415,1006,2024-01-07,Taylor Smith,Retail,Open,Standard
500416,1022,2025-05-24,Taylor Smith,IT,Open,Standard
500417,1014,2025-03-12,Alex Chen,IT,Closed,Standard
500418,1021,2025-10-13,Alex Chen,Retail,Closed,Standard
500419,1022,2024-02-16,Taylor Smith,Retail,Closed,Standard
500420,1016,2025-05-10,Jordan Lee,Finance,Closed,Standard
500421,1021,2025-03-01,Jordan Lee,Operations,Open,Standard
500422,1012,2025-11-05,Taylor Smith,Retail,Open,Standard
500423,1025,2025-07-21,Jordan Lee,Facilities,Open,Standard
500424,1014,2024-12-16,Taylor Smith,Operations,In Transit,Standard
500425,1010,2024-10-23,Taylor Smith,Facilities,Open,Standard
500426,1017,2024-12-07,Taylor Smith,IT,In Transit,Standard
500427,1021,2024-07-27,Morgan Patel,IT,Closed,Standard
